"id","company_name","feature"
1,"Jelurida","Custom Blockchain Implementation – Jelurida provides full software design and implementation services to ensure the best results in adopting our technology. We are well equipped to design and develop any customized features needed for the successful integration of blockchain technology in your business."
2,"Jelurida","Lightweight Contract Development – Development of blockchain based contracts is one of the most demanding challenges for programmers. Our professionals will guide your team and assist in all stages of implementation – from the initial design to code review, testing, deployment, and performance optimizations."
3,"Jelurida","Architecture Design and Optimization – Jelurida’s experienced blockchain engineers are ready to assist your organization in designing the best blockchain solution for your use case. Our professional services team will help identify implementation challenges and guide your team in resolving them, saving you time and resources."
4,"PrimeXBT","Industry-leading security – Keep your funds safe with our multi-level security system. Majority of digital assets are held in cold storage"
5,"PrimeXBT","100x leverage trading – Benefit from fast order execution, tight spreads, and advanced platform features to increase your profitability"
6,"PrimeXBT","Bitcoin deposits and withdrawals – Fund your account with Bitcoin or any other cryptocurrency, and start trading in seconds"
7,"PrimeXBT","Anonymous account – Create your personal account in just a few easy steps. No personal information is required"
8,"stakefish","We don’t only support and validate these projects, but put skin in the game by bonding our tokens to it, and fully dedicating our resources on building on them."
9,"stakefish","And for Cosmos we have developed similar tools like a leaderboard, a delegator dashboard, and a rewards calculator."
10,"stakefish","On Tezos we have developed a leaderboard, a delegator dashboard, a capacity planner, a rewards calculator, and a baking cycles bot."
11,"stakefish","As validators we believe in the networks that we support, for which we don’t only validate but add value by developing tools for people to enjoy."
12,"LocalBitcoins","Read more about the security features in the LocalBitcoins.com site security guide."
13,"LocalBitcoins","LocalBitcoins.com payment method supports wide range of world payment methods."
14,"LocalBitcoins","Trade process duration from the creation of the user account to having bitcoins in your wallet is a few minutes."
15,"Elliptic","Investigations Services"
16,"Elliptic","Anti-money Laundering (AML) Software"
17,"Elliptic","Cryptocurrency Forensics"
18,"Elliptic","Preventing, Detecting, and Pursuing Criminal Activity in Cryptocurrencies"
19,"MVP Workshop","TRAINING AND CONSULTING – Knowledge Transfer. In certain cases, the thing you might need or want more than our development services is our knowledge. That is why we also offer specialized training courses, either remote or on-premise, such as Business Decentralization Framework or Tokenization and Token Design. But honestly, we can do (almost) anything when it comes to blockchain."
20,"MVP Workshop","GROW – Ongoing product improvement and development. As your MVP is hitting the market and gaining traction, your development team will be focusing on full feature set development, as well as expanding the tracks and resources needed for long-term product scalability."
21,"MVP Workshop","BUILD –  Product Development. After forming a team which is dedicated solely to your project, we will cover the development of all the necessary elements of a successful, market-ready product, while focusing on technical optimization, end-user adoption-friendly design principles and ensuring alignment with your long-term business plan and goals."
22,"MVP Workshop","DEFINE – Product Discovery and Definition. Starting with holistic idea validation and problem scoping, we will go through each of the phases in order to properly define your product and ensure an optimal base for future full-scale development, while taking great care to facilitate your overall business goals."
23,"Coinmine","Unlock existing lightning apps. We know you will love the Lightning experience within the Coinmine app. But you will be able to use other existing Lightning apps like the following"
24,"Coinmine","Your lightning network sidekick. The world of Bitcoin and Lightning is young. It will grow beyond our imagination- and Coinmine is built to be ready for whatever Lightning throws at us."
25,"Coinmine","Earn 6.5% APR on the crypto in your wallet. By keeping the crypto your Coinmine is making in your Coinmine wallet, you’ll earn interest on your crypto. Rates start at 6.5% APR."
26,"Cointraffic","Press Release – Cryptocurrency & Bitcoin Press Release Distribution"
27,"Cointraffic","Native Ads – Cryptocurrency & Bitcoin Native Ads"
28,"Cointraffic","Banner Ads – Bitcoin & Cryptocurrency Banner Ad format"
29,"Cointraffic","For Publishers: Monetize your Crypto or Bitcoin-related website"
30,"Cointraffic","For Advertisers: Drive Crypto traffic to your business"
31,"Weiss Crypto Ratings","Safety ratings for consumers on virtually all U.S. banks, credit unions and insurance companies, updated quarterly."
32,"Weiss Crypto Ratings","Buy-sell-hold ratings for investors on all U.S. listed stocks, mutual funds and ETFs, updated daily."
33,"Weiss Crypto Ratings","Technology, adoption and risk/reward ratings on over 100 distributed ledgers (cryptocurrencies), updated weekly. Weiss is the only rating agency that covers this asset class."
34,"SmartContract","Connect With Other Chains – Create secure cross-chain connectivity between your main smart contract and any other public or private chain"
35,"SmartContract","Send Widely Used Payments – Send Payments from your smart contract to existing bank accounts and over widely used payment networks"
36,"SmartContract","Connect to Any Existing API – Easily connect smart contracts on various networks to your existing application and critical external data"
37,"Cardano Foundation","Facilitating Partnerships."
38,"Cardano Foundation","Ensuring stakeholder accountability."
39,"Cardano Foundation","Growing the Global Cardano Community."
40,"Cardano Foundation","Shape Legislation and Commercial Standards."
41,"Cardano Foundation","Driving adoption of Cardano."
42,"Bitspark","Cash to Cryptocurrency Exchange Platform"
43,"RTrade Technologies","Blockchain Consultation"
44,"RTrade Technologies","IPFS, dApp, and Blockchain Solution Design And Research"
45,"RTrade Technologies","Ethereum Smart Contract Development"
46,"RTrade Technologies","Distributed Data Storage Solutions Design, Implementation And Research"
47,"Tachyon","Tachyon III is a full-time, on-location program bringing 8-12 teams together in New York City from November 2019 through February 2020. Teams will be provided funding, office space, one on one mentorship, and programming around business and blockchain specific issues, culminating in an investor day and post-program fundraising support."
48,"Tachyon","Twice a year, Tachyon brings together a highly selective group of founders for an intense 12-week sprint to hone their value proposition, test their assumptions with real customers, and prepare for the next phase of investment and growth."
49,"Gitcoin","Labs. Gitcoin Labs’ mission is to make Ethereum DApps fast, usable and secure."
50,"Gitcoin","Codefund. Revenue to power open source"
51,"Gitcoin","Grants. Recurring funding for open source"
52,"Gitcoin","Kudos. Kudos is a way of showing your appreciation for another Gitcoin member."
53,"Gitcoin","Bounties. Development resources"
54,"Core Scientific","Digital Asset Mining"
55,"Core Scientific","AI Applications"
56,"Core Scientific","Blockchain Applications"
57,"Core Scientific","AI Infrastructure & Hosting"
58,"Core Scientific","Blockchain Infrastructure & Hosting"
59,"Miner Bros Limited","x11 Miner"
60,"Miner Bros Limited","Tensority Miner"
61,"Miner Bros Limited","SHA-256 Miner"
62,"Miner Bros Limited","Scrypt Miner"
63,"Miner Bros Limited","Lyra2REv2 Miner"
64,"Miner Bros Limited","INNOSILICON G32 GRIN"
65,"Miner Bros Limited","Ethash Miner"
66,"Miner Bros Limited","Equihash Miner"
67,"Miner Bros Limited","Cryptonight Miner"
68,"Miner Bros Limited","Blake2b Miner"
69,"Miner Bros Limited","Blake256 Miner"
70,"Miner Bros Limited","Asic Miners"
71,"Miner Bros Limited","Accessories"
72,"MXC","Other investment and financial services"
73,"MXC","Financing Market"
74,"MXC","Exchange Mining"
75,"MXC","Contract Exchange"
76,"MXC","PUSH function"
77,"MXC","OTC Exchange"
78,"MXC","Coin to Coin Exchange"
79,"Crypto Finance","Storage. Crypto Storage AG offers qualified and institutional clients a private solution for a physically and digitally secured storage of your private keys. Ensuring the safety and integrity of private keys, yet keeping them accessible in an easy manner can be a challenging task."
80,"Crypto Finance","Brokerage. Crypto Broker AG provides professional and institutional clients with market-leading digital asset trading services."
81,"Crypto Finance","Asset Management. Crypto Fund AG offers qualified and institutional investors safe and transparent access to the rapidly growing crypto assets space. A range of funds is currently being established."
82,"Enterprise Ethereum Alliance","COLLABORATE: Access Member Portal. The member portal is exclusive to EEA members for engaging, networking and collaborating. Members are encouraged to create an account."
83,"Enterprise Ethereum Alliance","PARTICIPATE: Join a Working Group. Working Groups are member-driven based on the needs and identified business opportunities. Check out our active Working Groups."
84,"Enterprise Ethereum Alliance","JOIN: Become a Member. EEA welcomes all individuals and organizations around the globe interested in or developing Ethereum-based technology specifically for, or useful in, enterprise use cases."
85,"tZERO","Secondary Trading"
86,"tZERO","Token Minting and Distribution"
87,"tZERO","Funding Portal"
88,"tZERO","Strategic Advisory"
89,"Bitcoin Gear","Bitcoin Accessories"
90,"Bitcoin Gear","Bitcoin Mugs"
91,"Bitcoin Gear","Bitcoin Cap"
92,"Bitcoin Gear","Bitcoin Watches"
93,"Bitcoin Gear","Bitcoin Jewelry"
94,"Bitcoin Gear","Bitcoin T Shirts & Sweatshirts"
95,"Bitcoin Gear","Bitcoin Display Signs"
96,"Bitcoin Gear","Mining Rigs"
97,"Bitcoin Gear","Cryptosteel Wallet"
98,"Bitcoin Gear","Trezor Hardware Wallet"
99,"Bitcoin Foundation","The Bitcoin Foundation coordinates the efforts of the members of the Bitcoin community, helping to create awareness of the benefits of Bitcoin, how to use it and its related technology requirements, for technologists, regulators, the media and everyone else globally."
100,"nChain","Consulting with other enterprises to help them actively develop applications and products from nChain’s research."
101,"nChain","Development of Bitcoin SV products and applications, enabling others to benefit from nChain’s insights and improvements; and"
102,"nChain","Research into medium and long-term advancements on the Bitcoin SV blockchain (including techniques for smart contracts, tokenising assets, and increased privacy);"
103,"nChain","Research into near-term opportunities to expand and massively scale the Bitcoin SV network (including optimisation opportunities for nodes to handle increased block size and transaction flow in a fully resilient manner);"
104,"Crypto Capital","EXCHANGE PLATFORMS. Crypto Capital handles all KYC/AML/SAR verification requirements and is licensed to handle customer’s funds. All you need to do is do what you do best, provide the best software platform to exchange Crypto to Fiat and vice versa."
105,"Crypto Capital","CORPORATE ACCOUNT. Crypto Capital can provide your Company a Fiat Bank account, so you can continue to grow your Crypto related business on an international level. Get direct access to exchanges, Payment Processors, transfer and receive funds worldwide and so much more."
106,"Crypto Capital","INVESTORS, TRADERS. Crypto Capital handles all KYC/AML requirements that means you get verified only once and you are clear to interact with multiple Exchanges without the need to re-verify your identity every time. One Account – Multiple Exchanges"
107,"HitBTC","OTC desk"
108,"HitBTC","Colocation services"
109,"HitBTC","Cold storage custody"
110,"HitBTC","Personal broker"
111,"HitBTC","No limits for deposit or withdrawal of digital assets"
112,"HitBTC","Rebate system – attractive to the market makers, creating high liquidity"
113,"HitBTC","OTC trading and Margin trade"
114,"HitBTC","Low-latency matching algorithms"
115,"HitBTC","Cutting-edge matching engine with real-time clearing"
116,"HitBTC","Most advanced robot-friendly FIX and REST API"
117,"Bitfury","Turn-Key Solutions. Bitfury provides a wide range of custom turn-key hardware solutions."
118,"Bitfury","Immersion Cooling. In a two-phase immersion cooled system, electronic components are submerged into a bath of dielectric heat transfer liquids, which are much better heat conductors than air, water or oil."
119,"Bitfury","BlockBox AC. Each BlockBox AC has the capabilities of a full-size bitcoin mining datacenter, making this the newest tool for mining bitcoin on a large scale."
120,"Bitfury","Bitfury Tardis. The Bitfury Tardis is Bitfury’s newest mining server with unparalleled performance and new user-friendly features."
121,"Bitfury","Bitfury Clarke. Building on Bitfury’s five successful generations of mining chips, the Bitfury Clarke ASIC offers the strongest performance among bitcoin mining chips and is unparalleled in efficiency."
122,"Bitfury","LightningPeach. The Lightning Network is a second-layer protocol, initially built on top of the Bitcoin Blockchain. LightningPeach brings simplicity convenience to the Lightning Network itself."
123,"Bitfury","Crystal. Crystal is a web-based software tool that helps financial institutions and law enforcement manage blockchain investigations."
124,"Bitfury","Exonum. Exonum is an extensible framework that enables you to build decentralized, secure and reliable blockchain applications."
125,"Minds + Machines Group Limited","Organizations who wish to secure their trademarks or expand their services"
126,"Minds + Machines Group Limited","Exchanges and users who want to conduct a Peer-to-Peer (P2P) transaction"
127,"Minds + Machines Group Limited","Existing .eth domain holders"
128,"Minds + Machines Group Limited","Investors and traditional web users"
129,"Minds + Machines Group Limited","Crypto wallet holders"
130,"Minds + Machines Group Limited","Innovators, blockchain entrepreneurs and developers"
131,"Minds + Machines Group Limited","Users who believe that innovation, trust and security on the Internet should go hand-in-hand."
132,"Minds + Machines Group Limited",".luxe – www.join.luxe – The first open, Top-Level Domain specifically created to combine Ethereum blockchain innovation and security with meaningful, easy-to-use .luxe names – the .luxe standard that “lets you exchange easily”."
133,"ShapeShift","Bitfract. Exchange One Cryptocurrency For Multiple"
134,"ShapeShift","KeepKey. Simple Bitcoin & Cryptocurrency Hardware Wallet"
135,"ShapeShift","CoinCap. Real-time cryptocurrency market cap rankings, trading charts, and more"
136,"ShapeShift","ShapeShift.io. Instant Crypto Converter"
137,"JPMorgan","Private Banking"
138,"JPMorgan","Corporate & Investment Bank"
139,"JPMorgan","Merchant Services"
140,"JPMorgan","Commercial Banking"
141,"JPMorgan","Asset Management"
142,"JPMorgan","J.P. Morgan Blockchain and Distributed Ledger. The Blockchain Center of Excellence (BCOE) leads efforts for applications of distributed ledger technology (DLT) within J.P. Morgan. It is exploring blockchain use cases and piloting solutions across business lines. It manages strategic relationships and investments with key vendors and consortia such as Digital Asset, Axoni, Enterprise Ethereum Alliance, and Hyperledger, a Linux Foundation Project."
143,"TokenInsight","Project Rating. TokenInsight is dedicated towards providing accurate cryptocurrency ratings based on risk and quality in order to help investors and institutions to reduce liabilities and make more intelligent financial decisions. TokenInsight’s rating system is widely accepted by several leading investment firms, including Matrix Partners China, Susquehanna International Group (SIG), Draper Dragon, Fenbushi Capital."
144,"Fidelity Investments","Fidelity Digital Assets.  Fidelity Digital Assets handles the trading and storage of digital assets of hedge funds, institutional investors, family offices and trading firms. These services are expected to become available to eligible U.S.-based institutions in early 2019."
145,"Genesis Mining","Zcash Mining"
146,"Genesis Mining","Monero Mining"
147,"Genesis Mining","Litecoin Mining"
148,"Genesis Mining","Ethereum Mining"
149,"Genesis Mining","Dash Mining"
150,"Genesis Mining","Bitcoin Mining"
151,"Digital Ark","Video Advertising. Provide access to a wide range of video influencers to promote your project."
152,"Digital Ark","Banner Advertising. Collaborate with the largest crypto related websites to ensure high ROI."
153,"Digital Ark","Exchange Listing. Assist you with getting your token listed on reputable exchanges."
154,"Digital Ark","Product Launch Marketing. Design a strategy that generates interest and excitement around your product launch."
155,"Digital Ark","Branding. Specialize in brand strategy and brand identity to help projects solve their business challenges."
156,"Digital Ark","Consulting. Evaluate your project to identify challenges, provide solutions, and create new business strategies."
157,"Openledger","Dapp development on Hyperledger, EOSIO, Bitshares and Ethereum."
158,"Openledger","genEOS. genEOS is a decentralized ecosystem that lets businesses design and launch their own blockchain applications, backed by a blockchain service provider ready to build Dapps to order."
159,"Openledger","HubDSP. HubDSP provides a comprehensive digital advertising solution for cryptocurrencies, exchanges and businesses pursuing an ICO/ITO. The platform enables real time bidding, audience buying and centralized campaign management, tracking, reporting and analytics."
160,"Openledger","ICO/ITO Services. OpenLedger works with you through each stage of your ICO/ITO. OpenLedger will support you on all fronts: consulting, full-scale technical development, marketing and PR."
161,"Openledger","Blockchain Development. OpenLedger helps businesses plan, structure, build and implement applications, structures, currencies and functions."
162,"Openledger","Openledger DEX. OpenLedger DEX allows users to trade thousands of BitShares assets including price-stable cryptocurrencies like bitUSD, bitEUR and bitCNY. The exchange also supports more than 50 of the most popular cryptocurrencies as well as fiat currencies. OpenLedger offers coin listing on OpenLedger DEX."
163,"Hyperledger","￼Promote our community of communities taking a toolkit approach with many platforms and frameworks."
164,"Hyperledger","￼Educate the public about the market opportunity for blockchain technology."
165,"Hyperledger","￼Build technical communities to develop blockchain and shared ledger POCs, use cases, field trails and deployments."
166,"Hyperledger","￼Provide neutral, open, and community-driven infrastructure supported by technical and business governance."
167,"Hyperledger","Create enterprise grade, open source, distributed ledger frameworks and code bases to support business transactions."
168,"Sydney Blockchain Centre","Incubation Service. Funding for start-up companies and providing ICO guidance."
169,"Sydney Blockchain Centre","CoWorking Space. Multiple working environment choices: exclusive working desks and sharing working areas for various working habits."
170,"Sydney Blockchain Centre","Symposium. Regular weekly lectures to popularize basic blockchain and digital currency knowledge."
171,"Sydney Blockchain Centre","Workshop. Conduct related entrepreneurial support guidance (entrepreneurial guidance, corporate structure, business information, operations guidance, marketing, financing, white paper writing instruction)."
172,"Sydney Blockchain Centre","Network. Provide a blockchain technology information sharing platform."
173,"Sydney Blockchain Centre","Community Activities. Organize community activities for community enthusiasts."
174,"Sydney Blockchain Centre","Venue Supply. Provide venues for blockchain enthusiasts."
175,"Goldman Sachs","INSIGHTS:  Blockchain — The New Technology of Trust"
176,"Goldman Sachs","Research. Covering areas such as economics, portfolio strategy, derivatives and equity and credit securities in more than 25 stock markets and 50 economies and regions around the world."
177,"Goldman Sachs","Investment Management. Goldman Sachs provides investment management services and offer investment products across all major asset classes to a diverse set of institutional and individual clients"
178,"Goldman Sachs","Investing and Lending. Goldman Sachs provides a variety of services to bring investors together with projects and organizations in need of capital."
179,"Goldman Sachs","Securities. Goldman Sachs serves institutional clients including Asset Managers, Hedge Funds, Banks and Brokerages, Pensions, Endowments and Foundations, Corporations, and Governments."
180,"Goldman Sachs","Investment Banking. Goldman Sachs offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions."
181,"IBM Blockchain","Operate. Monitor health and activity, manage new deployments, add or remove members, manage chaincode lifecycle, manage channels, support"
182,"IBM Blockchain","Govern. Invite members, generate credentials, propose governance models, disseminate certs and endpoint information."
183,"IBM Blockchain","Develop. Develop business networks, develop applications, develop chaincode."
184,"Digital Asset Management","OTC Service. DAM can facilitate the buying and selling of Digital Assets with FIAT for its clients at competitive rates."
185,"Digital Asset Management","Advisory Service. Provide general advisory services relating to Digital Asset custodianship and management for individuals, business and institutions."
186,"Digital Asset Management","Digital Asset Management. This service offers Execution Only, Advisory and Discretionary services, based on advice and decisions from DAM’s investment committee."
187,"Digital Asset Management","Cold Storage Vault. This service offers a secure enterprise-level cold storage, built upon an advanced operating system which supports custodianship of a wide range of Digital Assets for individuals and Institutions."
188,"BitGo","Private Blockchains. Custom blockchains for real-world finance."
189,"BitGo","Self-Managed Storage. Provides its secure offline vault solution for clients who want to hold their own keys and use their own technical teams."
190,"BitGo","Business Wallet. Multi-signature, three-key management removes any single point of failure and advanced security configurations ensure that assets are secure as they move in and out of the wallet."
191,"BitGo","Custody. Offers the most advanced cold storage and custody services including KYC/AML, transaction processing, and reporting from the market leader in institutional-grade cryptocurrency security."
192,"Conversion Wizards","Business Intelligence"
193,"Conversion Wizards","User/Customer Acquisition"
194,"Conversion Wizards","Conversion Rate Optimization"
195,"Blockchain, Inc.","Bitcoin Developer APIs. Use Blockchain’s APIs at no cost to help you start building bitcoin apps."
196,"Blockchain, Inc.","Principal Strategies. A comprehensive, institutional offering for digital asset investors."
197,"Blockchain, Inc.","Explorer. Search and verify transactions."
198,"Blockchain, Inc.","Wallet. Send, Receive, and Trade"
199,"Issuance","Issuance also offers strategic advisory and recurring aftermarket support services."
200,"Issuance","issuance platform. Issuance provides unique incentives for investors to sign up, complete investor surveys, and engage with issuers. Through the issuance platform, issuers can market their deal to authenticated, interested investors."
201,"BlockVC","Advisory & Research. BlockVC releases industry reports regularly. For the primary and secondary markets, BlockVC has objective, independent and rigorous global industry foresight and understanding."
202,"BlockVC","Investment Banking. BlockVC has been focusing on the investment banking services of global blockchain technology and fintech companies, covering the seed stage, growth stage, maturity stage, secondary market and other stages. BlockVC’s services include legal compliance, financing structure design, economic model building, marketing PR, market capitalization management, etc."
203,"BlockVC","Asset Management. BlockVC provides comprehensive digital assets OTC channel, secondary market trading, asset management and investment advisory services, customizing the best full life cycle execution plan, focusing on the deep understanding of customer needs, to achieve long-term, stable maintenance and appreciation of our customers’ assets value."
204,"BlockVC","Venture Capital. BlockVC supports all teams and projects that contribute to the progress and growth of the blockchain and digital assets industry. BlockVC’s investment mainly includes the following: infrastructure public chain, application protocols, native application, custody/wallet/payment, stable coin and financial derivatives investment/securities tokens trading platform, etc."
205,"Node Capital","Research. Focus on primary market industry analysis in the blockchain industry, including blockchain applications, protocol layers, ecological services, and blockchain technology."
