"id","company_name","portfolio"
1,"Openledger","ICO OpenLedger"
2,"BlockVC","Qtum"
3,"BlockVC","Gifto"
4,"BlockVC","VeChain"
5,"BlockVC","CoinMeet"
6,"BlockVC","Medicalchain"
7,"BlockVC","Penta"
8,"BlockVC","Odyssey"
9,"BlockVC","ContentBox"
10,"BlockVC","Scry.info"
11,"BlockVC","Ontology"
12,"BlockVC","Aergo"
13,"BlockVC","COVA"
14,"BlockVC","IOV"
15,"BlockVC","Cred"
16,"BlockVC","DxChain Token"
17,"BlockVC","Fantom"
18,"BlockVC","Ren"
19,"BlockVC","Origin Protocol"
20,"BlockVC","Trust Platform"
21,"BlockVC","IoTeX"
22,"BlockVC","Skrumble Network"
23,"BlockVC","GSENetwork"
24,"BlockVC","HitChain"
25,"BlockVC","NKN"
26,"BlockVC","QuarkChain"
27,"Node Capital","Scry.info"
28,"Node Capital","QunQun"
29,"Node Capital","Genaro Network"
30,"Node Capital","aelf"
31,"Node Capital","Gifto"
32,"Blockchain Capital","0x"
33,"Blockchain Capital","XRP"
34,"Blockchain Capital","Stacks"
35,"Andreessen Horowitz","Maker"
36,"Andreessen Horowitz","Internet Computer [IOU]"
37,"Pantera Capital","Zcash"
38,"Pantera Capital","WAX"
39,"Pantera Capital","XRP"
40,"Pantera Capital","Origin Protocol"
41,"Pantera Capital","Kyber Network"
42,"Pantera Capital","ICON"
43,"Pantera Capital","Gifto"
44,"Pantera Capital","Gems"
45,"Pantera Capital","FunFair"
46,"Pantera Capital","Filecoin"
47,"Pantera Capital","Ethereum"
48,"Pantera Capital","Codex Protocol"
49,"Pantera Capital","0x"
50,"Digital Currency Group","Stacks"
51,"Digital Currency Group","Zcash"
52,"Digital Currency Group","XRP"
53,"Digital Currency Group","Colu Local Network"
54,"Reflective Ventures","Swytch Energy Token"
55,"Reflective Ventures","Open Platform"
56,"Reflective Ventures","RChain"
57,"Arrington XRP Capital","Cortex"
58,"Arrington XRP Capital","Hifi Finance"
59,"Arrington XRP Capital","Gems"
60,"Arrington XRP Capital","Nexo"
61,"Arrington XRP Capital","aelf"
62,"Arrington XRP Capital","Stacks"
63,"Arrington XRP Capital","Bloom"
64,"Arrington XRP Capital","Propy"
65,"Arrington XRP Capital","XRP"
66,"Arrington XRP Capital","Cred"
67,"Arrington XRP Capital","NKN"
68,"Arrington XRP Capital","Fantom"
69,"Arrington XRP Capital","Sentinel Protocol"
70,"Arrington XRP Capital","Sentinel"
71,"Arrington XRP Capital","Carry"
72,"Arrington XRP Capital","Aergo"
73,"Pithia","RChain"
74,"#Hashed","Ethereum"
75,"#Hashed","Qtum"
76,"#Hashed","EOS"
77,"#Hashed","Decentraland"
78,"#Hashed","StormX"
79,"#Hashed","OST"
80,"#Hashed","Kyber Network"
81,"#Hashed","Red Pulse"
82,"#Hashed","Airswap"
83,"#Hashed","WAX"
84,"#Hashed","Bluzelle"
85,"#Hashed","Pundi X [new]"
86,"#Hashed","aelf"
87,"#Hashed","Loki"
88,"#Hashed","BnkToTheFuture"
89,"#Hashed","Zippie"
90,"#Hashed","IoT Chain"
91,"#Hashed","SureRemit"
92,"#Hashed","TomoChain"
93,"#Hashed","Ontology"
94,"#Hashed","Refereum"
95,"#Hashed","IoTeX"
96,"#Hashed","traceto"
97,"#Hashed","QuarkChain"
98,"#Hashed","Internet Computer [IOU]"
99,"#Hashed","MediBloc"
100,"#Hashed","ICON"
101,"#Hashed","Sentinel Protocol"
102,"#Hashed","Cosmo Coin"
103,"#Hashed","TTC"
104,"#Hashed","Carry"
105,"#Hashed","DarcMatter Coin"
106,"Huobi Global","Huobi Pool Token"
107,"Huobi Global","Huobi Token"
108,"Ethereum Foundation","Ethereum"
109,"Ripple","XRP"
110,"Binance","Gifto"
111,"Binance","Cred"
112,"ConsenSys","Omega One"
113,"ConsenSys","Gnosis"
114,"ConsenSys","Grid+"
115,"ConsenSys","Airswap"
116,"Three Arrows Capital","Meta"
117,"Three Arrows Capital","JOE"
118,"Three Arrows Capital","Kyber Network"
119,"Three Arrows Capital","Aave"
120,"Three Arrows Capital","Terra"
121,"Three Arrows Capital","Solana"
122,"Three Arrows Capital","Polkadot"
123,"Three Arrows Capital","NEAR Protocol"
124,"Three Arrows Capital","Mina"
125,"Three Arrows Capital","Kusama"
126,"Three Arrows Capital","Ethereum"
127,"Three Arrows Capital","Bitcoin"
128,"Paradigm","PHANTOM"
129,"Paradigm","Osmosis"
130,"Paradigm","OpenSea"
131,"Paradigm","Maker"
132,"Paradigm","Keep Network"
133,"Paradigm","Gitcoin"
134,"Paradigm","FTX"
135,"Paradigm","dYdX"
136,"Paradigm","Cosmos"
137,"Paradigm","Compound"
138,"Paradigm","Coinbase"
139,"Paradigm","Citadel"
140,"Paradigm","Chainalysis"
141,"Paradigm","BlockFi"
142,"GhostRider Ventures","Olympus"
143,"GhostRider Ventures","Avalanche"
144,"GhostRider Ventures","Solana"
145,"GhostRider Ventures","Fantom"
146,"GhostRider Ventures","The Sandbox"
147,"GhostRider Ventures","Terra"
148,"GhostRider Ventures","Kusama"
149,"GhostRider Ventures","Polkadot"
150,"Input Output","Ethereum Classic"
151,"Input Output","Cardano"
152,"Ava Labs","Avalanche"
153,"Ascensive Assets","SolRazr"
154,"Jsquare","RMRK"
155,"Jsquare","Efinity Token"
156,"Reflexer Labs","Rai Reflex Index"
157,"Reflexer Labs","Reflexer Ungovernance Token"
158,"Sky Mavis","Ronin Wallet"
159,"Sky Mavis","Small Love Potion"
160,"Sky Mavis","Axie Infinity"
161,"Digital Finance Group","Ripio Credit Network"
162,"Digital Finance Group","Circle"
163,"Digital Finance Group","Brave Browser"
164,"Digital Finance Group","Exchange Union"
165,"Digital Finance Group","Matrix AI Network"
166,"Digital Finance Group","Polkadot"
167,"DeFiance Capital","BoringDAO"
168,"DeFiance Capital","ParaSwap"
169,"DeFiance Capital","Balancer"
170,"DeFiance Capital","mStable"
171,"DeFiance Capital","Bancor"
172,"DeFiance Capital","DODO"
173,"DeFiance Capital","JOE"
174,"DeFiance Capital","Lido DAO Token"
175,"DeFiance Capital","Aave"
176,"DeFiance Capital","dYdX"
177,"Terraform Labs","TerraKRW"
178,"Terraform Labs","Mirror Protocol"
179,"Terraform Labs","TerraUSD"
180,"Terraform Labs","Terra"
181,"Coinbase Ventures","TaxBit"
182,"Coinbase Ventures","Flow (Dapper Labs)"
183,"Coinbase Ventures","Immutable X"
184,"Coinbase Ventures","iBTC (Synthetix)"
185,"Coinbase Ventures","BlockFi"
186,"Coinbase Ventures","Compound"
187,"Alameda Research","Immutable X"
188,"Animoca Brands","Bondly"
189,"Animoca Brands","REVV"
190,"Animoca Brands","The Sandbox"
191,"Union Square Ventures","Coinbase"
192,"Union Square Ventures","Algorand"
193,"Union Square Ventures","Arweave"
194,"Union Square Ventures","Polygon"
195,"Dapper Labs","Flow (Dapper Labs)"
196,"Blockchain Game Alliance","Tezos"
197,"Blockchain Game Alliance","My DeFi Pet"
198,"Blockchain Game Alliance","Sensorium"
199,"Blockchain Game Alliance","Seedify.fund"
200,"Blockchain Game Alliance","Crypto Briefing"
201,"Blockchain Game Alliance","Bondly"
202,"Blockchain Game Alliance","Avalanche"
203,"Blockchain Game Alliance","Gala"
204,"Blockchain Game Alliance","CUDOS"
205,"Blockchain Game Alliance","OpenSea"
206,"Blockchain Game Alliance","MetaMask"
207,"Blockchain Game Alliance","Sky Mavis"
208,"Blockchain Game Alliance","Ultra"
209,"Blockchain Game Alliance","The Sandbox"
210,"Blockchain Game Alliance","Enjin Coin"
